christer@cdrsp4:~/FYS3150/Project4$ mpirun -np 4 ./test.x 60 1000000 data/L60-1e6
E: -5564.83 Mabs: 2816.07 C_V: 5251.47 chi: 2.72129e+06
E: -5514.04 Mabs: 2764.34 C_V: 5498.13 chi: 423147
E: -5458.36 Mabs: 2711.85 C_V: 5647.31 chi: 3.34208e+06
E: -5405.5 Mabs: 2644.99 C_V: 6052.66 chi: 2.90091e+06
E: -5334.01 Mabs: 2539.27 C_V: 6745.15 chi: 2.83477e+06
E: -5269.43 Mabs: 2442.52 C_V: 6948.57 chi: 2.73864e+06
E: -5203.57 Mabs: 2334.24 C_V: 7416.01 chi: 2.14795e+06
E: -5126.17 Mabs: 2176.7 C_V: 7854.76 chi: 2.2259e+06
E: -5041.77 Mabs: 1989.29 C_V: 8076.77 chi: 1.7627e+06
E: -4966.84 Mabs: 1831.59 C_V: 7981.07 chi: 1.66672e+06
E: -4887.9 Mabs: 1638.16 C_V: 7610.8 chi: 1.32441e+06
E: -4809.4 Mabs: 1417.84 C_V: 7097.67 chi: 1.09529e+06
E: -4750.1 Mabs: 1314.03 C_V: 6782.95 chi: 956865
E: -4677.44 Mabs: 1119.91 C_V: 6134.45 chi: 729360
E: -4619.23 Mabs: 1009.9 C_V: 5678.34 chi: 606352
E: -4559.61 Mabs: 889.184 C_V: 5151.04 chi: 478572
E: -4515.23 Mabs: 835.43 C_V: 4920.81 chi: 425176
E: -4466.16 Mabs: 752.715 C_V: 4705.38 chi: 354628
E: -4420.82 Mabs: 702.527 C_V: 4466.94 chi: 308360
E: -4377.79 Mabs: 655.476 C_V: 4275.57 chi: 269791
E: -4333.39 Mabs: 600.826 C_V: 4086.73 chi: 226979
Time = 2560.79 on number of threads: 4
